,R_fighter,B_fighter,win_by,last_round,date,location,Fight_type,Winner,indexfighter1,Agefighter1,weight_classfighter1,height_cmfighter1,reach_cmfighter1,ape_indexfighter1,Number_of_fightsfighter1,win_percentagefighter1,O_SLpMfighter1,O_StrPctfighter1,D_SApMfighter1,D_StrPctfighter1,O_TdAvgfighter1,O_TdAccfighter1,O_SubAvgfighter1,D_TdPctfighter1,weightfighter1,indexfighter2,Agefighter2,weight_classfighter2,height_cmfighter2,reach_cmfighter2,ape_indexfighter2,Number_of_fightsfighter2,win_percentagefighter2,O_SLpMfighter2,O_StrPctfighter2,D_SApMfighter2,D_StrPctfighter2,O_TdAvgfighter2,O_TdAccfighter2,O_SubAvgfighter2,D_TdPctfighter2,weightfighter2
0,Adrian Yanez,Gustavo Lopez,KO/TKO,3,"March 20, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,1,1524,28,Bantamweight 135 lb,170.0,178.0,1.0470588235294118,18,0.8333333333333334,6.35,0.39,5.52,0.6,0.0,0.0,0.0,1.0,135,133,32,Bantamweight 135 lb,165.0,170.0,1.0303030303030305,19,0.631578947368421,2.48,0.4,3.87,0.57,1.74,0.41,0.7,0.31,135
1,Trevin Giles,Roman Dolidze,Decision - Unanimous,3,"March 20, 2021","Las Vegas, Nevada, USA",Middleweight Bout,1,2450,29,Middleweight 185 lb,183.0,188.0,1.0273224043715847,18,0.7777777777777778,3.09,0.54,2.2,0.59,1.37,0.64,0.5,0.75,185,2121,33,Middleweight 185 lb,188.0,193.0,1.0265957446808511,10,0.9,2.36,0.48,1.4,0.64,2.74,0.52,1.5,0.37,185
2,Harry Hunsucker,Tai Tuivasa,KO/TKO,1,"March 20, 2021","Las Vegas, Nevada, USA",Heavyweight Bout,0,2506,33,Heavyweight 265 lb,188.0,190.0,1.0106382978723405,12,0.5833333333333334,3.83,0.52,6.7,0.42,0.0,0.0,2.4,0.0,241,1246,28,Heavyweight 265 lb,188.0,190.0,1.0106382978723405,18,0.8333333333333334,4.54,0.52,3.56,0.48,0.0,0.0,0.0,0.5,264
3,Marion Reneau,Macy Chiasson,Decision - Unanimous,3,"March 20, 2021","Las Vegas, Nevada, USA",Women's Bantamweight Bout,0,1142,44,Bantamweight 135 lb,168.0,173.0,1.0297619047619049,18,0.5,3.2,0.41,3.52,0.59,0.62,0.63,0.8,0.5,135,2010,30,Featherweight 145 lb,180.0,183.0,1.0166666666666666,10,0.8,4.04,0.46,2.56,0.45,1.08,0.23,0.4,0.64,145
4,Leonardo Santos,Grant Dawson,KO/TKO,3,"March 20, 2021","Las Vegas, Nevada, USA",Lightweight Bout,0,1167,42,Lightweight 155 lb,183.0,190.0,1.0382513661202186,25,0.72,2.88,0.47,2.77,0.59,1.01,0.29,0.3,0.86,155,2177,28,Lightweight 155 lb,178.0,183.0,1.0280898876404494,19,0.8947368421052632,3.06,0.5,2.05,0.49,3.36,0.32,1.3,0.4,155
5,Max Griffin,Song Kenan,KO/TKO,1,"March 20, 2021","Las Vegas, Nevada, USA",Welterweight Bout,1,2374,36,Welterweight 170 lb,180.0,193.0,1.0722222222222222,26,0.6923076923076923,4.35,0.49,3.97,0.57,1.63,0.53,0.4,0.7,170,894,31,Welterweight 170 lb,183.0,180.0,0.9836065573770492,22,0.7272727272727273,4.39,0.46,4.37,0.54,0.0,0.0,0.0,0.5,170
6,Derek Brunson,Kevin Holland,Decision - Unanimous,5,"March 20, 2021","Las Vegas, Nevada, USA",Middleweight Bout,1,1746,38,Middleweight 185 lb,185.0,196.0,1.0594594594594595,31,0.7419354838709677,3.5,0.47,2.84,0.52,3.23,0.33,0.6,0.89,185,2546,29,Middleweight 185 lb,190.0,206.0,1.0842105263157895,28,0.75,3.67,0.54,2.34,0.56,0.9,0.45,0.5,0.5,185
7,Montel Jackson,Jesse Strader,KO/TKO,1,"March 20, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,1,2745,29,Bantamweight 135 lb,178.0,190.0,1.0674157303370786,13,0.8461538461538461,3.42,0.55,1.34,0.57,4.13,0.78,0.3,0.68,135,826,30,Bantamweight 135 lb,170.0,178.0,1.0470588235294118,8,0.625,5.03,0.51,5.28,0.47,3.87,0.57,0.0,1.0,135
8,JP Buys,Bruno Silva 125,KO/TKO,2,"March 20, 2021","Las Vegas, Nevada, USA",Flyweight Bout,0,1716,25,Bantamweight 135 lb,165.0,170.0,1.0303030303030305,13,0.6923076923076923,1.76,0.43,2.46,0.42,1.7,0.3,2.5,0.25,135,963,31,Flyweight 125 lb,163.0,165.0,1.012269938650307,19,0.631578947368421,2.98,0.46,3.23,0.58,2.89,0.31,0.0,0.64,125
9,Matheus Nicolau,Manel Kape,Decision - Split,3,"March 13, 2021","Las Vegas, Nevada, USA",Flyweight Bout,1,546,29,Flyweight 125 lb,168.0,168.0,1.0,21,0.8095238095238095,3.88,0.53,3.18,0.67,1.75,0.47,1.2,0.92,125,109,28,Flyweight 125 lb,165.0,173.0,1.0484848484848486,23,0.7391304347826086,4.69,0.53,4.59,0.51,0.77,0.28,0.0,0.8,125
10,Misha Cirkunov,Ryan Spann,KO/TKO,1,"March 13, 2021","Las Vegas, Nevada, USA",Light Heavyweight Bout,0,1991,35,Middleweight 185 lb,190.0,196.0,1.0315789473684212,22,0.6818181818181818,3.77,0.49,3.08,0.59,4.48,0.44,1.7,0.7,185,872,30,Light Heavyweight 205 lb,196.0,201.0,1.0255102040816326,26,0.7307692307692307,3.43,0.44,3.54,0.47,1.58,0.38,1.6,0.6,205
11,Charles Jourdain,Marcelo Rojo,KO/TKO,3,"March 13, 2021","Las Vegas, Nevada, USA",Featherweight Bout,1,2689,26,Featherweight 145 lb,175.0,175.0,1.0,17,0.7058823529411765,5.7,0.49,4.57,0.6,0.0,0.0,0.5,0.48,145,997,33,Bantamweight 135 lb,173.0,180.0,1.0404624277456649,25,0.64,4.9,0.36,7.07,0.51,0.57,0.5,0.0,0.66,135
12,Ashley Yoder,Angela Hill,Decision - Unanimous,3,"March 13, 2021","Las Vegas, Nevada, USA",Women's Strawweight Bout,0,1518,34,Strawweight 115 lb,170.0,175.0,1.0294117647058822,16,0.5,3.08,0.39,3.76,0.47,1.2,0.3,0.6,0.69,115,2561,37,Strawweight 115 lb,160.0,163.0,1.01875,24,0.5416666666666666,5.56,0.49,5.15,0.62,0.57,0.3,0.1,0.78,115
13,Jonathan Martinez,Davey Grant,KO/TKO,2,"March 13, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,0,444,27,Bantamweight 135 lb,173.0,178.0,1.0289017341040465,18,0.7777777777777778,4.53,0.46,3.86,0.58,0.42,0.37,0.0,0.72,135,2390,36,Bantamweight 135 lb,173.0,175.0,1.0115606936416186,19,0.6842105263157895,4.55,0.44,3.75,0.57,1.77,0.44,0.1,0.6,135
14,Dan Ige,Gavin Tucker,KO/TKO,1,"March 13, 2021","Las Vegas, Nevada, USA",Featherweight Bout,1,2676,30,Featherweight 145 lb,170.0,180.0,1.0588235294117647,20,0.75,3.9,0.46,3.47,0.57,1.35,0.25,0.4,0.55,145,1248,35,Featherweight 145 lb,168.0,168.0,1.0,15,0.8666666666666667,4.39,0.45,4.28,0.57,2.98,0.42,1.5,0.53,145
15,Rafa Garcia,Nasrat Haqparast,Decision - Unanimous,3,"March 13, 2021","Las Vegas, Nevada, USA",Lightweight Bout,0,2476,27,Lightweight 155 lb,170.0,178.0,1.0470588235294118,15,0.8666666666666667,3.53,0.35,5.47,0.53,4.0,0.44,0.3,0.7,155,2626,26,Lightweight 155 lb,178.0,183.0,1.0280898876404494,18,0.7222222222222222,5.17,0.45,4.7,0.66,0.13,0.14,0.0,0.78,155
