name,index,Age,weight_class,height_cm,reach_cm,ape_index,Number_of_fights,win_percentage,O_SLpM,O_StrPct,D_SApM,D_StrPct,O_TdAvg,O_TdAcc,O_SubAvg,D_TdPct,weight
Hunter Azure,1,30,Featherweight 145 lb,173.0,175.0,1.0115606936416186,11,0.8181818181818182,3.92,0.53,2.08,0.58,1.97,0.34,1.3,0.67,145
Virgil Zwicker,2,39,Light Heavyweight 205 lb,188.0,188.0,1.0,22,0.6818181818181818,3.34,0.48,4.87,0.39,1.31,0.3,0.0,0.5,205
Gilbert Yvel,3,45,Heavyweight 265 lb,188.0,196.0,1.0425531914893618,56,0.6964285714285714,1.05,0.47,1.78,0.5,0.0,0.0,1.0,0.25,225
Xie Bin,4,24,Featherweight 145 lb,178.0,183.0,1.0280898876404494,11,0.7272727272727273,2.2,0.38,2.6,0.63,4.0,0.44,0.0,0.0,145
Wu Yanan,5,25,Bantamweight 135 lb,173.0,168.0,0.9710982658959537,15,0.7333333333333333,4.51,0.45,4.82,0.51,0.61,0.22,0.3,0.66,135
Igor Vovchanchyn,6,48,Light Heavyweight 205 lb,173.0,173.0,1.0,65,0.8461538461538461,1.59,0.49,0.97,0.63,1.19,0.66,0.5,0.5,205
Darren Uyenoyama,7,42,Flyweight 125 lb,168.0,165.0,0.9821428571428571,16,0.625,1.34,0.39,2.21,0.66,1.42,0.33,0.7,0.35,125
Marcin Tybura,8,36,Heavyweight 265 lb,190.0,198.0,1.0421052631578946,29,0.7586206896551724,3.65,0.49,3.44,0.54,1.54,0.32,0.1,0.82,249
Austin Tweedy,9,31,Lightweight 155 lb,175.0,175.0,1.0,10,0.8,4.29,0.66,6.43,0.0,0.0,0.0,0.0,0.0,155
Tim Sylvia,10,46,Heavyweight 265 lb,203.0,203.0,1.0,41,0.7560975609756098,4.23,0.41,2.61,0.61,0.11,1.0,0.1,0.75,265
Christian Quinonez,11,25,Bantamweight 135 lb,170.0,178.0,1.0470588235294118,19,0.8421052631578947,5.07,0.41,5.2,0.6,1.0,1.0,0.0,1.0,135
Mike Pyle,12,46,Welterweight 170 lb,183.0,188.0,1.0273224043715847,42,0.6428571428571429,2.74,0.45,2.84,0.6,1.8,0.35,1.5,0.7,170
Alptekin Ozkilic,13,35,Flyweight 125 lb,165.0,165.0,1.0,14,0.6428571428571429,3.81,0.32,5.72,0.59,4.21,0.58,0.0,0.75,125
Kennedy Nzechukwu,14,29,Light Heavyweight 205 lb,196.0,211.0,1.0765306122448979,11,0.8181818181818182,4.86,0.42,5.04,0.49,0.0,0.0,0.0,0.8,205
Chris Lytle,15,47,Welterweight 170 lb,180.0,173.0,0.9611111111111111,54,0.5740740740740741,3.76,0.45,3.03,0.58,0.7,0.55,2.4,0.55,170
Mike Kyle,16,41,Light Heavyweight 205 lb,193.0,196.0,1.0155440414507773,37,0.5945945945945946,3.93,0.51,3.35,0.49,1.33,0.62,0.8,0.5,205
Guram Kutateladze,17,30,Lightweight 155 lb,180.0,183.0,1.0166666666666666,14,0.8571428571428571,2.47,0.43,3.47,0.58,0.0,0.0,0.0,0.68,155
Eldari Kurtanidze,18,49,Heavyweight 265 lb,168.0,168.0,1.0,1,0.0,0.47,0.2,3.72,0.6,0.0,0.0,0.0,0.0,235
Tsuyoshi Kurihara,19,48,Middleweight 185 lb,178.0,178.0,1.0,20,0.5,0.0,0.0,12.0,0.5,0.0,0.0,0.0,0.0,185
Ramazan Kuramagomedov,20,25,Welterweight 170 lb,185.0,185.0,1.0,8,1.0,11.67,0.67,9.13,0.54,1.0,0.14,0.0,0.0,170
Korey Kuppe,21,33,Welterweight 170 lb,196.0,196.0,1.0,12,0.6666666666666666,0.73,0.73,1.33,0.31,0.0,0.0,1.0,0.69,170
Leo Kuntz,22,38,Lightweight 155 lb,178.0,178.0,1.0,23,0.782608695652174,1.68,0.32,3.8,0.45,1.99,0.25,0.7,0.33,155
Yana Kunitskaya,23,32,Bantamweight 135 lb,168.0,173.0,1.0297619047619047,20,0.7,4.28,0.56,2.94,0.5,1.53,0.53,0.2,0.5,135
Kiichi Kunimoto,24,40,Welterweight 170 lb,178.0,180.0,1.0112359550561798,27,0.6666666666666666,1.87,0.44,3.92,0.41,1.59,0.2,0.3,0.28,170
Rizvan Kuniev,25,29,Heavyweight 265 lb,193.0,193.0,1.0,14,0.7857142857142857,7.09,0.73,1.55,0.51,4.09,0.75,0.0,0.0,240
Aleksei Kunchenko,26,37,Welterweight 170 lb,173.0,178.0,1.0289017341040463,22,0.9090909090909091,3.67,0.44,2.83,0.63,0.25,0.33,0.0,0.8,170
